Product;Company;Category;Rating
Τορτελινια;ΑΒΕΖ;5;0
Ιχθυοτρoφεια Ιθακης;;6;1
Ιχθυοτρoφεια Ναυπλιου;;6;1
Lion Iχθυοκαλλιεργειες;;6;3
Neptunus;;6;3
Octopus;;6;3
Sea Farm Ionian;;6;3
Simi Fish;;6;3
Σελοντα;;6;3
Sparfish Υδατοκαλλιεργειες;;6;4
Γαλαξιδι Θαλασσιες Καλλιεργειες;;6;4
Ελληνικες Ιχθυοκαλλιεργειες;;6;4
Ευριπος;;6;4
Ιχθυοκαλλιεργειες Αγια;;6;4
Ιχθυοκαλλιεργειες Κρητης;;6;4
Ιχθυοτροφεια Κεφαλονιας;;6;4
Ιχθυοτροφικη Ελλας ΑΕ;;6;4
Υδατοκαλλιεργειες ΚΟΡΩΝΙΣ;;6;4
Παλιρροια Βοδινο με αρακα;Παλιρροια;7;0
Παλιρροια Γιγαντες γιαχνι;Παλιρροια;7;0
Παλιρροια Ντολμαδακια Γιαλαντζι;Παλιρροια;7;0
Παλιρροια Σπετζοφαι;Παλιρροια;7;0
Brava Ketchup;Med Foods;7;0
Παγωτα ΑΓΝΟ;ΑΓΝΟ;8;0
Algida Παγωτα;Unilever;8;1
ΑΓΝΟ Παγωτα;ΑΓΝΟ;8;1
ΔΕΛΤΑ Παγωτα;ΔΕΛΤΑ;8;1
ΕΒΓΑ Παγωτα;ΕΒΓΑ;8;1
Δωδωνη Παγωτα;Παγωτα Δωδωνη;8;1
Κρι-Κρι Παγωτα;Κρι-Κρι;8;2
BEM Μελιτζανοσαλατα;BEM;9;0
BEM Ρωσικη Σαλατα ;BEM;9;0
BEM Ταραμοσαλατα;BEM;9;0
BEM Τζατζικι ;BEM;9;0
Brava Μουσταρδα;Med Foods;9;0
Delicia Μουσταρδα;Med Foods;9;0
17 Delicatessen Farma;Olympus Foods;9;0
17 Delicatessen Mustard Sauce;Olympus Foods;9;0
17 Delicatessen Μελιτζανοσαλατα;Olympus Foods;9;0
17 Delicatessen Ρωσικη Σαλατα;Olympus Foods;9;0
17 Delicatessen Τυροσαλατα;Olympus Foods;9;0
Chef Grec Τυροσαλατα;Κουτρας;9;0
Chef Grec Ρωσικη Σαλατα;Κουτρας;9;0
Chef Grec Ταραμοσαλατα;Κουτρας;9;0
Chef Grec Τζατζικι ;Κουτρας;9;0
Standard Σπορελαια;Standard;10;0
Ευα ;Ελληνικες Δημιουργιες;10;0
Σορινα ;Ελληνικες Δημιουργιες;10;0
Corolla ;Κορε;10;0
Σογιολα ;Κορε;10;0
Το Λαμπερο;Μυλοι Σογιας;10;0
Union Σογιελαιο;Παπουτσανης;10;0
Μανα Αραβοσιτελαιο;Παπουτσανης;10;0
Μανα Βαμβακελαιο ;Παπουτσανης;10;0
Cheetos ;Tasty;11;0
Doritos ;Tasty;11;0
Φουντουνια ;Tasty;11;0
Lay’s;Tasty;11;0
Pitsinia ;Tasty;11;0
Ruffles ;Tasty;11;0
Tasty Snacks ;Tasty;11;0
Tsakiris Chips με αλατι – παπρικα;Τσακιρης;11;0
Tsakiris Chips με αλατι – ριγανη;Τσακιρης;11;0
Smoki Πεστροφα;Smoki;12;3
Smoki Σολομος;Smoki;12;3
Νηρευς Λαυρακι;Νηρευς;12;3
Νηρευς Συναγριδα;Νηρευς;12;3
Νηρευς Τσιπουρα;Νηρευς;12;3
Ξιφιας Κολιοι;Ξιφιας;12;4
Ξιφιας Σαρδελλες;Ξιφιας;12;4
